@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
233,'2017/02/26 11:51:39:650',5,70.322571,1
234,'2017/02/26 11:51:39:692',5,70.322571,1
235,'2017/02/26 11:51:39:731',5,71.483864,1
236,'2017/02/26 11:51:39:773',5,70.322571,1
237,'2017/02/26 11:51:39:813',5,70.903221,1
238,'2017/02/26 11:51:39:849',5,70.903221,1
239,'2017/02/26 11:51:39:889',5,70.903221,1
240,'2017/02/26 11:51:39:929',5,70.903221,1
241,'2017/02/26 11:51:39:972',5,70.322571,1
242,'2017/02/26 11:51:40:013',5,70.322571,1
243,'2017/02/26 11:51:40:053',5,71.483864,1
244,'2017/02/26 11:51:40:090',5,70.903221,1
245,'2017/02/26 11:51:40:131',5,71.483864,1
246,'2017/02/26 11:51:40:171',5,70.903221,1
247,'2017/02/26 11:51:40:214',5,71.483864,1
248,'2017/02/26 11:51:40:250',5,70.903221,1
249,'2017/02/26 11:51:40:290',5,70.903221,1
250,'2017/02/26 11:51:40:332',5,70.322571,1
251,'2017/02/26 11:51:40:372',5,70.903221,1
252,'2017/02/26 11:51:40:412',5,70.322571,1
253,'2017/02/26 11:51:40:450',5,70.322571,1
254,'2017/02/26 11:51:40:489',5,71.483864,1
255,'2017/02/26 11:51:40:529',5,71.483864,1
256,'2017/02/26 11:51:40:572',5,70.322571,1
257,'2017/02/26 11:51:40:609',5,70.322571,1
258,'2017/02/26 11:51:40:651',5,70.903221,1
259,'2017/02/26 11:51:40:692',5,70.322571,1
260,'2017/02/26 11:51:40:730',5,71.483864,1
261,'2017/02/26 11:51:40:773',5,70.903221,1
262,'2017/02/26 11:51:40:809',5,70.322571,1
263,'2017/02/26 11:51:40:854',5,70.322571,1
264,'2017/02/26 11:51:40:890',5,71.483864,1
265,'2017/02/26 11:51:40:931',5,70.903221,1
266,'2017/02/26 11:51:40:972',5,70.903221,1
267,'2017/02/26 11:51:41:010',5,71.483864,1
268,'2017/02/26 11:51:41:052',5,70.903221,1
269,'2017/02/26 11:51:41:090',5,70.322571,1
270,'2017/02/26 11:51:41:133',5,70.322571,1
271,'2017/02/26 11:51:41:173',5,70.903221,1
272,'2017/02/26 11:51:41:213',5,70.322571,1
273,'2017/02/26 11:51:41:252',5,70.322571,1
274,'2017/02/26 11:51:41:289',5,70.903221,1
275,'2017/02/26 11:51:41:334',5,70.903221,1
276,'2017/02/26 11:51:41:374',5,70.903221,1
277,'2017/02/26 11:51:41:413',5,70.903221,1
278,'2017/02/26 11:51:41:449',5,70.903221,1
279,'2017/02/26 11:51:41:493',5,71.483864,1
280,'2017/02/26 11:51:41:531',5,70.322571,1
281,'2017/02/26 11:51:41:573',5,70.322571,1
282,'2017/02/26 11:51:41:609',5,70.903221,1
283,'2017/02/26 11:51:41:651',5,70.903221,1
284,'2017/02/26 11:51:41:692',5,70.903221,1
285,'2017/02/26 11:51:41:730',5,70.903221,1
286,'2017/02/26 11:51:41:772',5,70.903221,1
287,'2017/02/26 11:51:41:809',5,70.903221,1
288,'2017/02/26 11:51:41:851',5,70.903221,1
289,'2017/02/26 11:51:41:890',5,70.903221,1
290,'2017/02/26 11:51:41:933',5,70.903221,1
291,'2017/02/26 11:51:41:973',5,71.483864,1
292,'2017/02/26 11:51:42:013',5,70.903221,1
293,'2017/02/26 11:51:42:052',5,70.322571,1
294,'2017/02/26 11:51:42:091',5,70.903221,1
295,'2017/02/26 11:51:42:130',5,70.322571,1
296,'2017/02/26 11:51:42:173',5,70.903221,1
297,'2017/02/26 11:51:42:209',5,70.903221,1
298,'2017/02/26 11:51:42:254',5,70.322571,1
299,'2017/02/26 11:51:42:291',5,71.483864,1
300,'2017/02/26 11:51:42:331',5,70.903221,1
301,'2017/02/26 11:51:42:374',5,70.903221,1
302,'2017/02/26 11:51:59:813',6,74.387085,2
303,'2017/02/26 11:51:59:851',6,73.806442,2
304,'2017/02/26 11:51:59:892',6,74.967743,2
305,'2017/02/26 11:51:59:933',6,74.967743,2
