@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
51,'2017/02/17 14:23:13:225',2,73.806442,1
52,'2017/02/17 14:23:13:264',2,73.2258,1
53,'2017/02/17 14:23:13:304',2,72.645164,1
54,'2017/02/17 14:23:13:345',2,73.2258,1
55,'2017/02/17 14:23:13:383',2,73.2258,1
56,'2017/02/17 14:23:13:424',2,73.806442,1
57,'2017/02/17 14:23:13:462',2,72.064522,1
58,'2017/02/17 14:23:13:504',2,73.806442,1
59,'2017/02/17 14:23:13:541',2,73.806442,1
60,'2017/02/17 14:23:13:581',2,73.2258,1
61,'2017/02/17 14:23:13:625',2,73.806442,1
62,'2017/02/17 14:23:13:664',2,73.2258,1
63,'2017/02/17 14:23:13:705',2,73.806442,1
64,'2017/02/17 14:23:13:740',2,73.2258,1
65,'2017/02/17 14:23:13:782',2,74.387085,1
66,'2017/02/17 14:23:13:821',2,74.387085,1
67,'2017/02/17 14:23:13:862',2,73.806442,1
68,'2017/02/17 14:23:13:905',2,74.387085,1
69,'2017/02/17 14:23:13:941',2,73.806442,1
70,'2017/02/17 14:23:13:984',2,73.2258,1
71,'2017/02/17 14:23:14:025',2,74.387085,1
72,'2017/02/17 14:23:14:063',2,74.387085,1
73,'2017/02/17 14:23:14:104',2,73.2258,1
74,'2017/02/17 14:23:14:141',2,73.806442,1
75,'2017/02/17 14:23:14:184',2,73.2258,1
76,'2017/02/17 14:23:14:221',2,74.387085,1
77,'2017/02/17 14:23:14:263',2,73.2258,1
78,'2017/02/17 14:23:14:305',2,73.2258,1
79,'2017/02/17 14:23:14:343',2,73.2258,1
80,'2017/02/17 14:23:14:383',2,73.806442,1
81,'2017/02/17 14:23:14:422',2,73.806442,1
82,'2017/02/17 14:23:14:465',2,73.806442,1
83,'2017/02/17 14:23:14:505',2,74.387085,1
84,'2017/02/17 14:23:14:544',2,73.2258,1
85,'2017/02/17 14:23:14:584',2,74.387085,1
86,'2017/02/17 14:23:14:622',2,73.806442,1
